date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:23:10	110/110	---M-Z	200	added ('OK')	text/plain	date:Sat,%2021%20Feb%202026%2012:23:09%20GMT	http://localhost:8080/robots.txt		(from )
09:23:10	146693/146693	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Feb%202026%2012:23:10%20GMT	http://localhost:8080/	httrack/localhost_8080/index.html	(from )
09:23:11	2090/2090	---M--	200	added ('OK')	application/json	date:Sat,%2021%20Feb%202026%2012:23:11%20GMT	http://localhost:8080/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%3A8080%2F	httrack/localhost_8080/wp-json/oembed/1.0/embed2f5c.json	(from http://localhost:8080/)
09:23:12	711/711	---M-Z	200	added ('OK')	application/rss+xml	etag:%22587cca3fcc3393401faba151b78b8f00-gzip%22	http://localhost:8080/comments/feed/	httrack/localhost_8080/comments/feed/index.html	(from http://localhost:8080/)
09:23:12	2244/2244	---M-Z	200	added ('OK')	text/xml	date:Sat,%2021%20Feb%202026%2012:23:12%20GMT	http://localhost:8080/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%3A8080%2F&format=xml	httrack/localhost_8080/wp-json/oembed/1.0/embed698f	(from http://localhost:8080/)
09:23:12	6860/6860	---M-Z	200	added ('OK')	application/rss+xml	etag:%22587cca3fcc3393401faba151b78b8f00-gzip%22	http://localhost:8080/feed/	httrack/localhost_8080/feed/index.html	(from http://localhost:8080/)
09:23:13	45749/45749	---M-Z	200	added ('OK')	text/css	etag:%22b2b5-64b548e14f443-gzip%22	http://localhost:8080/wp-content/themes/astra/assets/css/minified/main.min.css?ver=4.12.3	httrack/localhost_8080/wp-content/themes/astra/assets/css/minified/main.min5690.css	(from http://localhost:8080/)
09:23:14	396065/396065	---M-Z	200	added ('OK')	text/css	etag:%2260b21-64b548e0791e8-gzip%22	http://localhost:8080/wp-content/plugins/latepoint/public/stylesheets/front.css?ver=5.2.7	httrack/localhost_8080/wp-content/plugins/latepoint/public/stylesheets/front6e7a.css	(from http://localhost:8080/)
09:23:15	54666/54666	---M-Z	200	added ('OK')	text/css	etag:%22d58a-64b548e0a797d-gzip%22	http://localhost:8080/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.35.5	httrack/localhost_8080/wp-content/plugins/elementor/assets/css/frontend.min4d16.css	(from http://localhost:8080/)
09:23:16	7746/7746	---M-Z	200	added ('OK')	text/css	etag:%221e42-64b548e0e3219-gzip%22	http://localhost:8080/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min.css?ver=6.5.11	httrack/localhost_8080/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min0c8a.css	(from http://localhost:8080/)
09:23:17	167757/167757	---M-Z	200	added ('OK')	text/css	etag:%2228f4d-64b548e1787b2-gzip%22	http://localhost:8080/wp-content/uploads/essential-addons-elementor/eael-17.css?ver=1771628319	httrack/localhost_8080/wp-content/uploads/essential-addons-elementor/eael-178af2.css	(from http://localhost:8080/)
09:23:18	1291/1291	---M-Z	200	added ('OK')	text/css	etag:%2250b-64b548e1d4795-gzip%22	http://localhost:8080/wp-content/uploads/elementor/css/post-443.css?ver=1771676393	httrack/localhost_8080/wp-content/uploads/elementor/css/post-44386a2.css	(from http://localhost:8080/)
09:23:19	560/560	---M-Z	200	added ('OK')	text/css	etag:%22230-64b548e0a6f91-gzip%22	http://localhost:8080/wp-content/plugins/elementor/assets/css/widget-heading.min.css?ver=3.35.5	httrack/localhost_8080/wp-content/plugins/elementor/assets/css/widget-heading.min4d16.css	(from http://localhost:8080/)
09:23:20	16471/16471	---M-Z	200	added ('OK')	text/css	etag:%224057-64b548e0b0c0a-gzip%22	http://localhost:8080/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min.css?ver=8.4.5	httrack/localhost_8080/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min94a4.css	(from http://localhost:8080/)
09:23:21	5486/5486	---M-Z	200	added ('OK')	text/css	etag:%22156e-64b548e0a779d-gzip%22	http://localhost:8080/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min.css?ver=3.35.5	httrack/localhost_8080/wp-content/plugins/elementor/assets/css/conditionals/e-swiper.min4d16.css	(from http://localhost:8080/)
09:23:22	342/342	---M-Z	200	added ('OK')	text/css	etag:%22156-64b548e0a47f3-gzip%22	http://localhost:8080/wp-content/plugins/elementor/assets/css/widget-image-carousel.min.css?ver=3.35.5	httrack/localhost_8080/wp-content/plugins/elementor/assets/css/widget-image-carousel.min4d16.css	(from http://localhost:8080/)
09:23:23	13108/13108	---M-Z	200	added ('OK')	text/css	etag:%223334-64b548e1e965c-gzip%22	http://localhost:8080/wp-content/uploads/elementor/css/post-17.css?ver=1771676393	httrack/localhost_8080/wp-content/uploads/elementor/css/post-1786a2.css	(from http://localhost:8080/)
